CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,IsFreeCourse
CR00001,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,False
CR00002,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,True
CR00003,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,True
CR00004,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,True
CR00005,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,True
CR00006,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,False
CR00007,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,True
CR00008,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,True
CR00009,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,True
CR00010,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,True
CR00011,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,False
CR00012,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,False
CR00013,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,True
CR00014,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,True
CR00015,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,False
CR00016,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,True
CR00017,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,True
CR00018,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,True
CR00019,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,True
CR00020,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,True
CR00021,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,True
CR00022,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,True
CR00023,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,True
CR00024,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,False
CR00025,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,False
CR00026,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,True
CR00027,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,True
CR00028,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,False
CR00029,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,True
CR00030,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,True
CR00031,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,True
CR00032,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,True
CR00033,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,True
CR00034,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,False
CR00035,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,True
CR00036,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,True
CR00037,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,True
CR00038,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,False
CR00039,Project Planning,Project Management,Paid,Advanced,346.71,3.42,1.23,False
CR00040,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,False
CR00041,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47,False
CR00042,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,True
CR00043,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,True
CR00044,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,False
CR00045,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,True
CR00046,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,False
CR00047,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,False
CR00048,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,True
CR00049,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,False
CR00050,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,False
CR00051,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,False
CR00052,JavaScript Mastery,Web Development,Free,Beginner,0.0,40.76,2.2,True
CR00053,React for Beginners,Web Development,Free,Advanced,0.0,40.07,2.67,True
CR00054,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,True
CR00055,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,False
CR00056,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,False
CR00057,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,False
CR00058,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,True
CR00059,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,True
CR00060,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,True
