CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,IsFreeCourse,EnrollmentCount,TotalRevenue,AverageTransactionAmount,PaidEnrollmentCount,FirstTransactionDate,LastTransactionDate,FreeEnrollmentCount,RevenuePerEnrollment,EnrollmentTrend,RevenueTrend,FirstEnrollmentYear,FirstEnrollmentMonth,FirstEnrollmentQuarter,ActiveDaysSpan,RecencyDays,AvgTeacherRating,AvgTeacherExperience,DistinctTeacherCount,MaxTeacherRating,PriceBand,DurationBucket,RatingTier,ExperienceBucket,CategoryHistoricalDemand,CategoryHistoricalRevenue
CR00001,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,False,164,77453.92,472.28,164,2025-01-02,2025-12-26,0,472.28,0,0.0,2025,1,1,358,4,4.191646341463414,16.682926829268293,25,4.97,High,Medium,High,Senior,160.5,0.0
CR00002,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,True,149,0.0,0.0,0,2025-01-03,2025-12-30,149,0.0,1,0.0,2025,1,1,361,0,4.2114093959731544,17.013422818791945,20,4.97,Free,VeryLong,Medium,Senior,164.25,19363.48
CR00003,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,True,173,0.0,0.0,0,2025-01-01,2025-12-30,173,0.0,1,0.0,2025,1,1,363,0,4.079017341040462,16.589595375722542,27,4.97,Free,Long,High,Senior,158.25,19363.48
CR00004,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,True,154,0.0,0.0,0,2025-01-03,2025-12-20,154,0.0,0,0.0,2025,1,1,351,10,4.097987012987013,15.896103896103897,27,4.97,Free,VeryLong,Medium,Senior,163.0,19363.48
CR00005,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,True,166,0.0,0.0,0,2025-01-01,2025-12-30,166,0.0,0,0.0,2025,1,1,363,0,4.05855421686747,15.795180722891565,29,4.97,Free,Long,Low,Senior,160.0,19363.48
CR00006,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,False,156,43113.72,276.37,156,2025-01-02,2025-12-29,0,276.37,0,0.0,2025,1,1,361,1,4.133461538461538,16.75,15,4.97,High,VeryLong,Medium,Senior,167.75,0.0
CR00007,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,True,178,0.0,0.0,0,2025-01-01,2025-12-30,178,0.0,0,0.0,2025,1,1,363,0,3.932584269662921,16.02247191011236,16,4.97,Free,VeryLong,Medium,Senior,162.25,10778.43
CR00008,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,True,158,0.0,0.0,0,2025-01-16,2025-12-25,158,0.0,0,0.0,2025,1,1,343,5,3.999113924050633,16.329113924050635,15,4.97,Free,Short,Low,Senior,167.25,10778.43
CR00009,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,True,155,0.0,0.0,0,2025-01-01,2025-12-27,155,0.0,1,0.0,2025,1,1,360,3,3.9562580645161294,15.387096774193548,19,4.97,Free,VeryLong,High,Senior,168.0,10778.43
CR00010,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,True,180,0.0,0.0,0,2025-01-01,2025-12-29,180,0.0,0,0.0,2025,1,1,362,1,3.997055555555556,16.05,18,4.97,Free,Long,High,Senior,161.75,10778.43
CR00011,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,False,151,49229.02,326.02,151,2025-01-02,2025-12-29,0,326.02,1,326.02000000000044,2025,1,1,361,1,3.9479470198675495,16.52980132450331,16,4.97,High,Medium,Medium,Senior,170.5,33074.64
CR00012,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,False,173,84410.16,487.92,173,2025-01-02,2025-12-29,0,487.92,1,487.91999999999825,2025,1,1,361,1,3.9091907514450863,16.052023121387283,18,4.97,High,VeryLong,High,Senior,165.0,24279.355
CR00013,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,True,170,0.0,0.0,0,2025-01-01,2025-12-30,170,0.0,0,0.0,2025,1,1,363,0,3.8742941176470587,15.935294117647059,20,4.97,Free,Long,Low,Senior,165.75,45381.895
CR00014,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,True,171,0.0,0.0,0,2025-01-01,2025-12-26,171,0.0,1,0.0,2025,1,1,359,4,3.769298245614035,15.695906432748538,18,4.97,Free,Long,Medium,Senior,165.5,45381.895
CR00015,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,False,168,47888.4,285.05,168,2025-01-03,2025-12-27,0,285.05,0,0.0,2025,1,1,358,3,4.0042857142857144,16.708333333333332,19,4.97,High,VeryLong,Low,Senior,166.25,33409.795
