CourseID,YearMonth,MonthlyEnrollment,MonthlyRevenue,Lag1Enrollment,Lag1Revenue,RollingAvgEnrollment3M,CumulativeEnrollmentToDate,NextMonthEnrollment,NextMonthRevenue,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating
CR00001,2025-02,11,5195.08,18.0,8501.039999999999,18.0,18,8.0,3778.24,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-03,8,3778.24,11.0,5195.08,14.5,29,14.0,6611.92,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-04,14,6611.92,8.0,3778.24,12.333333333333334,37,17.0,8028.759999999999,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-05,17,8028.759999999999,14.0,6611.92,11.0,51,11.0,5195.08,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-06,11,5195.08,17.0,8028.759999999999,13.0,68,12.0,5667.36,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-07,12,5667.36,11.0,5195.08,14.0,79,12.0,5667.36,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-08,12,5667.36,12.0,5667.36,13.333333333333334,91,23.0,10862.439999999999,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-09,23,10862.439999999999,12.0,5667.36,11.666666666666666,103,13.0,6139.639999999999,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-10,13,6139.639999999999,23.0,10862.439999999999,15.666666666666666,126,13.0,6139.639999999999,Programming,Paid,Beginner,472.28,11.0,4.74
CR00001,2025-11,13,6139.639999999999,13.0,6139.639999999999,16.0,139,12.0,5667.36,Programming,Paid,Beginner,472.28,11.0,4.74
CR00002,2025-02,10,0.0,11.0,0.0,12.0,11,15.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-03,15,0.0,10.0,0.0,10.5,21,20.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-04,20,0.0,15.0,0.0,12.0,36,17.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-05,17,0.0,20.0,0.0,15.0,56,12.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-06,12,0.0,17.0,0.0,17.333333333333332,73,9.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-07,9,0.0,12.0,0.0,16.333333333333332,85,17.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-08,17,0.0,9.0,0.0,12.666666666666666,94,5.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-09,5,0.0,17.0,0.0,12.666666666666666,111,9.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-10,9,0.0,5.0,0.0,10.333333333333334,116,11.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00002,2025-11,11,0.0,9.0,0.0,10.333333333333334,125,13.0,0.0,Programming,Free,Intermediate,0.0,37.7,2.43
CR00003,2025-02,10,0.0,12.0,0.0,11.5,12,10.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-03,10,0.0,10.0,0.0,11.0,22,14.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-04,14,0.0,10.0,0.0,10.666666666666666,32,13.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-05,13,0.0,14.0,0.0,11.333333333333334,46,16.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-06,16,0.0,13.0,0.0,12.333333333333334,59,17.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-07,17,0.0,16.0,0.0,14.333333333333334,75,16.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-08,16,0.0,17.0,0.0,15.333333333333334,92,14.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-09,14,0.0,16.0,0.0,16.333333333333332,108,15.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-10,15,0.0,14.0,0.0,15.666666666666666,122,23.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
CR00003,2025-11,23,0.0,15.0,0.0,15.0,137,13.0,0.0,Programming,Free,Beginner,0.0,19.53,3.85
