TransactionID,UserID,CourseID,TransactionDate,Amount,PaymentMethod,TeacherID,IsPaidTransaction
TT00001,U00003,CR00016,2025-10-25,0.0,PayPal,TC00040,False
TT00002,U00003,CR00037,2025-01-13,0.0,PayPal,TC00040,False
TT00003,U00003,CR00019,2025-03-28,0.0,Bank Transfer,TC00040,False
TT00004,U00004,CR00048,2025-06-02,0.0,Bank Transfer,TC00040,False
TT00005,U00004,CR00060,2025-08-10,0.0,PayPal,TC00042,False
TT00006,U00004,CR00042,2025-10-30,0.0,Credit Card,TC00042,False
TT00007,U00004,CR00017,2025-05-09,0.0,Bank Transfer,TC00042,False
TT00008,U00004,CR00025,2025-05-07,299.57,Credit Card,TC00040,True
TT00009,U00013,CR00003,2025-10-05,0.0,PayPal,TC00040,False
TT00010,U00013,CR00032,2025-09-29,0.0,Bank Transfer,TC00040,False
TT00011,U00013,CR00060,2025-11-26,0.0,PayPal,TC00042,False
TT00012,U00013,CR00030,2025-01-20,0.0,Bank Transfer,TC00042,False
TT00013,U00013,CR00056,2025-08-28,212.39,Bank Transfer,TC00042,True
TT00014,U00015,CR00045,2025-04-27,0.0,PayPal,TC00040,False
TT00015,U00015,CR00046,2025-02-19,248.1,Bank Transfer,TC00040,True
TT00016,U00015,CR00040,2025-12-22,327.99,Credit Card,TC00040,True
TT00017,U00015,CR00019,2025-07-14,0.0,Bank Transfer,TC00042,False
TT00018,U00018,CR00046,2025-05-22,248.1,Credit Card,TC00040,True
TT00019,U00018,CR00047,2025-04-21,89.59,PayPal,TC00040,True
TT00020,U00018,CR00045,2025-01-12,0.0,Credit Card,TC00040,False
TT00021,U00018,CR00001,2025-03-24,472.28,PayPal,TC00042,True
TT00022,U00018,CR00029,2025-01-20,0.0,Credit Card,TC00042,False
TT00023,U00028,CR00040,2025-05-06,327.99,Bank Transfer,TC00042,True
TT00024,U00028,CR00010,2025-08-12,0.0,Bank Transfer,TC00042,False
TT00025,U00028,CR00056,2025-03-04,212.39,Credit Card,TC00040,True
TT00026,U00028,CR00021,2025-04-17,0.0,Credit Card,TC00040,False
TT00027,U00028,CR00031,2025-04-20,0.0,Bank Transfer,TC00040,False
TT00028,U00045,CR00043,2025-05-06,0.0,Credit Card,TC00040,False
TT00029,U00045,CR00036,2025-04-28,0.0,PayPal,TC00040,False
TT00030,U00045,CR00045,2025-07-10,0.0,Bank Transfer,TC00040,False
TT00031,U00045,CR00035,2025-07-27,0.0,Credit Card,TC00040,False
TT00032,U00048,CR00022,2025-11-19,0.0,Bank Transfer,TC00040,False
TT00033,U00048,CR00016,2025-03-21,0.0,Bank Transfer,TC00040,False
TT00034,U00048,CR00037,2025-05-25,0.0,PayPal,TC00040,False
TT00035,U00048,CR00025,2025-05-08,299.57,Credit Card,TC00040,True
TT00036,U00055,CR00058,2025-04-29,0.0,Bank Transfer,TC00040,False
TT00037,U00055,CR00057,2025-05-17,177.34,PayPal,TC00040,True
TT00038,U00055,CR00014,2025-09-21,0.0,Credit Card,TC00040,False
TT00039,U00055,CR00016,2025-06-02,0.0,Credit Card,TC00042,False
TT00040,U00055,CR00051,2025-09-14,37.89,PayPal,TC00042,True
TT00041,U00071,CR00025,2025-03-02,299.57,Credit Card,TC00042,True
TT00042,U00071,CR00048,2025-03-18,0.0,Bank Transfer,TC00042,False
TT00043,U00071,CR00015,2025-10-16,285.05,Bank Transfer,TC00040,True
TT00044,U00083,CR00028,2025-12-08,0.78,PayPal,TC00042,True
TT00045,U00083,CR00054,2025-09-09,0.0,Bank Transfer,TC00042,False
TT00046,U00083,CR00044,2025-09-21,119.04,Credit Card,TC00040,True
TT00047,U00083,CR00040,2025-11-15,327.99,PayPal,TC00040,True
TT00048,U00085,CR00035,2025-11-11,0.0,Bank Transfer,TC00040,False
TT00049,U00085,CR00053,2025-06-15,0.0,Credit Card,TC00040,False
TT00050,U00085,CR00002,2025-03-01,0.0,Credit Card,TC00042,False
TT00051,U00109,CR00002,2025-04-26,0.0,PayPal,TC00040,False
TT00052,U00109,CR00023,2025-02-11,0.0,Credit Card,TC00040,False
TT00053,U00109,CR00054,2025-02-21,0.0,Credit Card,TC00040,False
TT00054,U00112,CR00024,2025-10-21,117.68,PayPal,TC00042,True
TT00055,U00112,CR00036,2025-04-07,0.0,PayPal,TC00040,False
TT00056,U00112,CR00007,2025-02-22,0.0,PayPal,TC00040,False
TT00057,U00112,CR00016,2025-06-05,0.0,Bank Transfer,TC00042,False
TT00058,U00112,CR00023,2025-02-25,0.0,PayPal,TC00040,False
TT00059,U00117,CR00008,2025-10-15,0.0,PayPal,TC00042,False
TT00060,U00117,CR00027,2025-08-03,0.0,Credit Card,TC00042,False
TT00061,U00117,CR00001,2025-11-28,472.28,PayPal,TC00040,True
TT00062,U00126,CR00060,2025-07-17,0.0,PayPal,TC00042,False
TT00063,U00126,CR00036,2025-10-01,0.0,Credit Card,TC00042,False
TT00064,U00126,CR00050,2025-01-06,490.9,Bank Transfer,TC00042,True
TT00065,U00126,CR00028,2025-04-16,0.78,Credit Card,TC00042,True
TT00066,U00128,CR00027,2025-02-21,0.0,Credit Card,TC00042,False
TT00067,U00128,CR00054,2025-12-10,0.0,PayPal,TC00042,False
TT00068,U00128,CR00050,2025-01-03,490.9,Credit Card,TC00040,True
TT00069,U00133,CR00052,2025-06-05,0.0,Credit Card,TC00042,False
TT00070,U00133,CR00010,2025-07-19,0.0,PayPal,TC00042,False
TT00071,U00133,CR00041,2025-10-10,53.86,Credit Card,TC00042,True
TT00072,U00133,CR00055,2025-07-05,57.32,Credit Card,TC00040,True
TT00073,U00133,CR00004,2025-03-24,0.0,Credit Card,TC00040,False
TT00074,U00134,CR00055,2025-02-11,57.32,PayPal,TC00040,True
TT00075,U00134,CR00012,2025-12-29,487.92,PayPal,TC00040,True
TT00076,U00134,CR00030,2025-08-17,0.0,Credit Card,TC00042,False
TT00077,U00134,CR00011,2025-10-17,326.02,Credit Card,TC00040,True
TT00078,U00144,CR00032,2025-12-28,0.0,Bank Transfer,TC00040,False
TT00079,U00144,CR00020,2025-10-03,0.0,Credit Card,TC00042,False
TT00080,U00144,CR00042,2025-07-13,0.0,Bank Transfer,TC00040,False
TT00081,U00144,CR00012,2025-03-18,487.92,Credit Card,TC00042,True
TT00082,U00147,CR00007,2025-09-02,0.0,PayPal,TC00040,False
TT00083,U00147,CR00021,2025-12-03,0.0,PayPal,TC00040,False
TT00084,U00147,CR00044,2025-09-30,119.04,PayPal,TC00042,True
TT00085,U00147,CR00001,2025-11-14,472.28,Credit Card,TC00042,True
TT00086,U00149,CR00021,2025-03-11,0.0,Bank Transfer,TC00040,False
TT00087,U00149,CR00032,2025-02-24,0.0,Bank Transfer,TC00040,False
TT00088,U00149,CR00049,2025-07-06,415.51,PayPal,TC00042,True
TT00089,U00152,CR00033,2025-05-12,0.0,Credit Card,TC00040,False
TT00090,U00152,CR00001,2025-11-05,472.28,Credit Card,TC00042,True
TT00091,U00152,CR00008,2025-04-20,0.0,PayPal,TC00040,False
TT00092,U00161,CR00024,2025-06-27,117.68,PayPal,TC00040,True
TT00093,U00161,CR00042,2025-03-11,0.0,Bank Transfer,TC00042,False
TT00094,U00161,CR00008,2025-04-16,0.0,Credit Card,TC00042,False
TT00095,U00161,CR00054,2025-10-07,0.0,Credit Card,TC00040,False
TT00096,U00166,CR00002,2025-01-03,0.0,Bank Transfer,TC00040,False
TT00097,U00166,CR00004,2025-07-11,0.0,Credit Card,TC00042,False
TT00098,U00166,CR00020,2025-12-11,0.0,PayPal,TC00042,False
TT00099,U00166,CR00018,2025-10-30,0.0,Credit Card,TC00040,False
TT00100,U00169,CR00013,2025-04-20,0.0,PayPal,TC00042,False
TT00101,U00169,CR00044,2025-04-29,119.04,Credit Card,TC00040,True
TT00102,U00169,CR00034,2025-11-24,394.26,PayPal,TC00040,True
TT00103,U00169,CR00027,2025-02-15,0.0,Bank Transfer,TC00042,False
TT00104,U00173,CR00016,2025-04-03,0.0,Credit Card,TC00040,False
TT00105,U00173,CR00029,2025-07-26,0.0,PayPal,TC00042,False
TT00106,U00173,CR00048,2025-09-13,0.0,Bank Transfer,TC00042,False
TT00107,U00177,CR00021,2025-11-24,0.0,Bank Transfer,TC00042,False
TT00108,U00177,CR00006,2025-04-09,276.37,PayPal,TC00040,True
TT00109,U00177,CR00060,2025-09-30,0.0,PayPal,TC00042,False
TT00110,U00177,CR00002,2025-03-19,0.0,Bank Transfer,TC00042,False
TT00111,U00177,CR00055,2025-04-14,57.32,PayPal,TC00042,True
TT00112,U00178,CR00021,2025-06-24,0.0,Credit Card,TC00040,False
TT00113,U00178,CR00048,2025-08-14,0.0,PayPal,TC00042,False
TT00114,U00178,CR00023,2025-02-08,0.0,Credit Card,TC00042,False
TT00115,U00178,CR00014,2025-05-16,0.0,Credit Card,TC00042,False
TT00116,U00191,CR00043,2025-08-28,0.0,PayPal,TC00042,False
TT00117,U00191,CR00058,2025-06-04,0.0,PayPal,TC00040,False
TT00118,U00191,CR00056,2025-06-08,212.39,Credit Card,TC00040,True
TT00119,U00192,CR00054,2025-05-30,0.0,PayPal,TC00042,False
TT00120,U00192,CR00014,2025-11-14,0.0,Credit Card,TC00042,False
TT00121,U00192,CR00060,2025-09-06,0.0,Credit Card,TC00040,False
TT00122,U00192,CR00043,2025-04-21,0.0,Bank Transfer,TC00042,False
TT00123,U00192,CR00004,2025-11-03,0.0,PayPal,TC00040,False
TT00124,U00198,CR00041,2025-02-16,53.86,Credit Card,TC00040,True
TT00125,U00198,CR00016,2025-08-27,0.0,Bank Transfer,TC00040,False
TT00126,U00198,CR00032,2025-04-21,0.0,Credit Card,TC00040,False
TT00127,U00198,CR00020,2025-06-20,0.0,PayPal,TC00042,False
TT00128,U00208,CR00036,2025-03-24,0.0,PayPal,TC00040,False
TT00129,U00208,CR00013,2025-06-18,0.0,PayPal,TC00040,False
TT00130,U00208,CR00052,2025-08-22,0.0,PayPal,TC00042,False
TT00131,U00208,CR00047,2025-10-29,89.59,Credit Card,TC00040,True
TT00132,U00208,CR00025,2025-03-16,299.57,Credit Card,TC00040,True
TT00133,U00216,CR00059,2025-03-16,0.0,Bank Transfer,TC00042,False
TT00134,U00216,CR00054,2025-11-29,0.0,Bank Transfer,TC00042,False
TT00135,U00216,CR00036,2025-05-08,0.0,Bank Transfer,TC00040,False
TT00136,U00216,CR00024,2025-05-01,117.68,PayPal,TC00040,True
TT00137,U00216,CR00017,2025-12-30,0.0,Credit Card,TC00040,False
TT00138,U00220,CR00010,2025-04-19,0.0,PayPal,TC00042,False
TT00139,U00220,CR00014,2025-04-25,0.0,Bank Transfer,TC00040,False
TT00140,U00220,CR00017,2025-04-16,0.0,PayPal,TC00042,False
TT00141,U00220,CR00003,2025-04-08,0.0,PayPal,TC00040,False
TT00142,U00238,CR00012,2025-03-25,487.92,Bank Transfer,TC00040,True
TT00143,U00238,CR00041,2025-11-20,53.86,Credit Card,TC00040,True
TT00144,U00238,CR00001,2025-08-24,472.28,PayPal,TC00040,True
TT00145,U00238,CR00052,2025-10-27,0.0,PayPal,TC00040,False
TT00146,U00238,CR00002,2025-10-06,0.0,PayPal,TC00040,False
TT00147,U00251,CR00043,2025-04-16,0.0,Bank Transfer,TC00040,False
TT00148,U00251,CR00059,2025-04-11,0.0,Credit Card,TC00042,False
TT00149,U00251,CR00040,2025-01-04,327.99,PayPal,TC00040,True
TT00150,U00260,CR00060,2025-06-08,0.0,Bank Transfer,TC00042,False
TT00151,U00260,CR00006,2025-01-15,276.37,Bank Transfer,TC00042,True
TT00152,U00260,CR00039,2025-09-15,346.71,Bank Transfer,TC00040,True
TT00153,U00260,CR00028,2025-02-08,0.78,Bank Transfer,TC00042,True
TT00154,U00260,CR00026,2025-11-23,0.0,Credit Card,TC00042,False
TT00155,U00265,CR00004,2025-12-20,0.0,Credit Card,TC00040,False
TT00156,U00265,CR00010,2025-01-14,0.0,PayPal,TC00040,False
TT00157,U00265,CR00059,2025-03-22,0.0,Bank Transfer,TC00040,False
TT00158,U00265,CR00042,2025-04-24,0.0,Bank Transfer,TC00042,False
TT00159,U00265,CR00060,2025-02-25,0.0,PayPal,TC00042,False
TT00160,U00272,CR00051,2025-06-10,37.89,Credit Card,TC00040,True
TT00161,U00272,CR00022,2025-06-20,0.0,Credit Card,TC00042,False
TT00162,U00272,CR00044,2025-08-24,119.04,Credit Card,TC00042,True
TT00163,U00282,CR00007,2025-12-20,0.0,PayPal,TC00042,False
TT00164,U00282,CR00020,2025-06-11,0.0,PayPal,TC00040,False
TT00165,U00282,CR00029,2025-03-07,0.0,Bank Transfer,TC00042,False
TT00166,U00282,CR00014,2025-11-18,0.0,Bank Transfer,TC00042,False
TT00167,U00282,CR00046,2025-04-11,248.1,PayPal,TC00042,True
TT00168,U00292,CR00005,2025-10-04,0.0,Bank Transfer,TC00040,False
TT00169,U00292,CR00038,2025-04-04,342.61,Bank Transfer,TC00040,True
TT00170,U00293,CR00028,2025-11-13,0.78,Bank Transfer,TC00042,True
TT00171,U00293,CR00016,2025-12-10,0.0,Bank Transfer,TC00042,False
TT00172,U00293,CR00025,2025-01-22,299.57,Credit Card,TC00040,True
TT00173,U00293,CR00049,2025-01-15,415.51,Credit Card,TC00042,True
TT00174,U00298,CR00059,2025-08-22,0.0,PayPal,TC00040,False
TT00175,U00298,CR00026,2025-09-12,0.0,PayPal,TC00042,False
TT00176,U00298,CR00039,2025-07-16,346.71,Credit Card,TC00040,True
TT00177,U00298,CR00040,2025-01-06,327.99,PayPal,TC00042,True
TT00178,U00301,CR00003,2025-06-10,0.0,Bank Transfer,TC00040,False
TT00179,U00301,CR00037,2025-07-24,0.0,Bank Transfer,TC00040,False
TT00180,U00301,CR00049,2025-04-24,415.51,PayPal,TC00040,True
TT00181,U00301,CR00030,2025-01-12,0.0,Bank Transfer,TC00042,False
TT00182,U00303,CR00014,2025-04-06,0.0,PayPal,TC00040,False
TT00183,U00303,CR00053,2025-04-08,0.0,PayPal,TC00042,False
TT00184,U00303,CR00039,2025-08-15,346.71,PayPal,TC00042,True
TT00185,U00310,CR00010,2025-04-23,0.0,Credit Card,TC00042,False
TT00186,U00310,CR00023,2025-04-04,0.0,PayPal,TC00040,False
TT00187,U00310,CR00037,2025-09-07,0.0,PayPal,TC00040,False
TT00188,U00315,CR00051,2025-10-16,37.89,Bank Transfer,TC00040,True
TT00189,U00315,CR00045,2025-12-26,0.0,PayPal,TC00040,False
TT00190,U00315,CR00060,2025-08-30,0.0,Credit Card,TC00040,False
TT00191,U00321,CR00043,2025-05-06,0.0,PayPal,TC00040,False
TT00192,U00321,CR00047,2025-01-04,89.59,PayPal,TC00040,True
TT00193,U00321,CR00049,2025-10-19,415.51,Bank Transfer,TC00042,True
TT00194,U00322,CR00041,2025-06-26,53.86,Credit Card,TC00040,True
TT00195,U00322,CR00048,2025-06-26,0.0,Bank Transfer,TC00040,False
TT00196,U00322,CR00022,2025-05-11,0.0,Credit Card,TC00040,False
TT00197,U00323,CR00005,2025-03-02,0.0,Credit Card,TC00042,False
TT00198,U00323,CR00036,2025-03-11,0.0,Credit Card,TC00040,False
TT00199,U00323,CR00016,2025-02-01,0.0,PayPal,TC00040,False
TT00200,U00323,CR00033,2025-02-09,0.0,Bank Transfer,TC00040,False
TT00201,U00328,CR00042,2025-01-18,0.0,Credit Card,TC00042,False
TT00202,U00328,CR00003,2025-06-06,0.0,Credit Card,TC00042,False
TT00203,U00328,CR00041,2025-07-01,53.86,Bank Transfer,TC00040,True
TT00204,U00328,CR00004,2025-09-21,0.0,PayPal,TC00040,False
TT00205,U00328,CR00036,2025-04-02,0.0,Bank Transfer,TC00042,False
TT00206,U00329,CR00060,2025-01-26,0.0,Bank Transfer,TC00042,False
TT00207,U00329,CR00021,2025-09-29,0.0,Credit Card,TC00042,False
TT00208,U00329,CR00049,2025-03-25,415.51,PayPal,TC00042,True
TT00209,U00330,CR00051,2025-12-12,37.89,Bank Transfer,TC00042,True
TT00210,U00330,CR00040,2025-02-11,327.99,PayPal,TC00040,True
TT00211,U00330,CR00054,2025-12-20,0.0,Bank Transfer,TC00040,False
TT00212,U00334,CR00024,2025-01-21,117.68,PayPal,TC00042,True
TT00213,U00334,CR00051,2025-03-04,37.89,PayPal,TC00040,True
TT00214,U00334,CR00046,2025-02-18,248.1,Bank Transfer,TC00040,True
TT00215,U00334,CR00042,2025-10-06,0.0,Bank Transfer,TC00040,False
TT00216,U00338,CR00023,2025-08-25,0.0,Bank Transfer,TC00040,False
TT00217,U00338,CR00009,2025-11-28,0.0,PayPal,TC00040,False
TT00218,U00338,CR00002,2025-04-11,0.0,PayPal,TC00040,False
TT00219,U00338,CR00039,2025-03-15,346.71,PayPal,TC00040,True
TT00220,U00338,CR00017,2025-04-10,0.0,PayPal,TC00040,False
TT00221,U00339,CR00044,2025-08-19,119.04,Bank Transfer,TC00040,True
TT00222,U00339,CR00001,2025-05-28,472.28,Credit Card,TC00042,True
TT00223,U00339,CR00039,2025-08-10,346.71,Bank Transfer,TC00042,True
TT00224,U00339,CR00040,2025-08-23,327.99,Bank Transfer,TC00040,True
TT00225,U00339,CR00060,2025-08-01,0.0,Credit Card,TC00042,False
TT00226,U00340,CR00033,2025-02-03,0.0,Bank Transfer,TC00040,False
TT00227,U00340,CR00048,2025-05-24,0.0,Credit Card,TC00042,False
TT00228,U00340,CR00034,2025-11-09,394.26,PayPal,TC00040,True
TT00229,U00340,CR00028,2025-01-23,0.78,Bank Transfer,TC00042,True
TT00230,U00345,CR00001,2025-05-17,472.28,Bank Transfer,TC00042,True
TT00231,U00345,CR00017,2025-01-02,0.0,Credit Card,TC00042,False
TT00232,U00345,CR00007,2025-08-10,0.0,PayPal,TC00042,False
TT00233,U00345,CR00058,2025-08-05,0.0,Bank Transfer,TC00042,False
TT00234,U00345,CR00003,2025-09-12,0.0,Credit Card,TC00040,False
TT00235,U00351,CR00024,2025-08-09,117.68,Bank Transfer,TC00040,True
TT00236,U00351,CR00008,2025-11-15,0.0,PayPal,TC00042,False
TT00237,U00351,CR00040,2025-06-24,327.99,Bank Transfer,TC00042,True
TT00238,U00351,CR00033,2025-03-20,0.0,Bank Transfer,TC00040,False
TT00239,U00352,CR00032,2025-09-12,0.0,PayPal,TC00040,False
TT00240,U00352,CR00024,2025-08-06,117.68,Credit Card,TC00040,True
TT00241,U00352,CR00058,2025-11-16,0.0,Bank Transfer,TC00042,False
TT00242,U00352,CR00021,2025-01-23,0.0,Bank Transfer,TC00042,False
TT00243,U00353,CR00034,2025-11-08,394.26,Credit Card,TC00040,True
TT00244,U00353,CR00058,2025-10-11,0.0,Credit Card,TC00042,False
TT00245,U00353,CR00060,2025-10-15,0.0,Credit Card,TC00040,False
TT00246,U00353,CR00003,2025-05-09,0.0,Bank Transfer,TC00040,False
TT00247,U00356,CR00028,2025-02-11,0.78,Credit Card,TC00042,True
TT00248,U00356,CR00017,2025-02-01,0.0,PayPal,TC00040,False
TT00249,U00356,CR00047,2025-03-29,89.59,Credit Card,TC00040,True
TT00250,U00356,CR00032,2025-06-30,0.0,PayPal,TC00040,False
TT00251,U00356,CR00004,2025-04-28,0.0,Credit Card,TC00042,False
TT00252,U00357,CR00048,2025-03-05,0.0,Credit Card,TC00042,False
TT00253,U00357,CR00058,2025-04-16,0.0,Credit Card,TC00040,False
TT00254,U00357,CR00023,2025-01-11,0.0,Credit Card,TC00042,False
TT00255,U00357,CR00034,2025-11-25,394.26,PayPal,TC00040,True
TT00256,U00357,CR00055,2025-05-07,57.32,Bank Transfer,TC00040,True
TT00257,U00362,CR00024,2025-05-22,117.68,PayPal,TC00040,True
TT00258,U00362,CR00039,2025-03-07,346.71,Bank Transfer,TC00040,True
TT00259,U00362,CR00001,2025-07-11,472.28,PayPal,TC00042,True
TT00260,U00362,CR00014,2025-07-30,0.0,Bank Transfer,TC00042,False
TT00261,U00365,CR00013,2025-12-25,0.0,PayPal,TC00040,False
TT00262,U00365,CR00031,2025-03-10,0.0,Bank Transfer,TC00040,False
TT00263,U00365,CR00045,2025-07-29,0.0,Credit Card,TC00042,False
TT00264,U00365,CR00032,2025-11-16,0.0,Bank Transfer,TC00040,False
TT00265,U00379,CR00038,2025-10-01,342.61,Credit Card,TC00042,True
TT00266,U00379,CR00017,2025-10-09,0.0,Bank Transfer,TC00040,False
TT00267,U00379,CR00001,2025-12-14,472.28,Credit Card,TC00040,True
TT00268,U00383,CR00021,2025-11-13,0.0,Bank Transfer,TC00040,False
TT00269,U00383,CR00013,2025-07-25,0.0,Bank Transfer,TC00042,False
TT00270,U00383,CR00040,2025-03-05,327.99,Credit Card,TC00042,True
TT00271,U00383,CR00051,2025-06-02,37.89,Credit Card,TC00042,True
TT00272,U00383,CR00017,2025-12-18,0.0,PayPal,TC00042,False
TT00273,U00394,CR00004,2025-08-14,0.0,Credit Card,TC00042,False
TT00274,U00394,CR00014,2025-02-12,0.0,Bank Transfer,TC00040,False
TT00275,U00394,CR00051,2025-03-03,37.89,Bank Transfer,TC00040,True
TT00276,U00394,CR00052,2025-02-23,0.0,Credit Card,TC00042,False
TT00277,U00399,CR00008,2025-07-25,0.0,Credit Card,TC00042,False
TT00278,U00399,CR00016,2025-09-18,0.0,Credit Card,TC00042,False
TT00279,U00399,CR00050,2025-02-06,490.9,Credit Card,TC00040,True
TT00280,U00399,CR00057,2025-03-14,177.34,PayPal,TC00040,True
TT00281,U00399,CR00033,2025-11-21,0.0,Bank Transfer,TC00040,False
TT00282,U00404,CR00043,2025-05-24,0.0,PayPal,TC00042,False
TT00283,U00404,CR00049,2025-03-23,415.51,Bank Transfer,TC00042,True
TT00284,U00404,CR00038,2025-05-06,342.61,Bank Transfer,TC00042,True
TT00285,U00404,CR00005,2025-02-13,0.0,Bank Transfer,TC00040,False
TT00286,U00406,CR00032,2025-04-10,0.0,Bank Transfer,TC00040,False
TT00287,U00406,CR00025,2025-02-06,299.57,Credit Card,TC00042,True
TT00288,U00406,CR00031,2025-08-10,0.0,Bank Transfer,TC00040,False
TT00289,U00406,CR00041,2025-10-09,53.86,PayPal,TC00042,True
TT00290,U00406,CR00054,2025-08-05,0.0,Credit Card,TC00040,False
TT00291,U00407,CR00015,2025-06-05,285.05,Credit Card,TC00042,True
TT00292,U00407,CR00013,2025-12-27,0.0,PayPal,TC00040,False
TT00293,U00407,CR00026,2025-05-27,0.0,PayPal,TC00042,False
TT00294,U00407,CR00040,2025-12-10,327.99,Bank Transfer,TC00040,True
TT00295,U00407,CR00049,2025-07-11,415.51,PayPal,TC00040,True
TT00296,U00411,CR00017,2025-02-05,0.0,PayPal,TC00042,False
TT00297,U00411,CR00034,2025-01-17,394.26,PayPal,TC00040,True
TT00298,U00411,CR00044,2025-07-21,119.04,Bank Transfer,TC00040,True
TT00299,U00415,CR00003,2025-08-06,0.0,Bank Transfer,TC00040,False
TT00300,U00415,CR00043,2025-01-23,0.0,PayPal,TC00040,False
TT00301,U00415,CR00045,2025-02-04,0.0,Bank Transfer,TC00040,False
TT00302,U00415,CR00024,2025-11-27,117.68,Credit Card,TC00040,True
TT00303,U00423,CR00048,2025-04-07,0.0,Bank Transfer,TC00042,False
TT00304,U00423,CR00014,2025-09-11,0.0,Credit Card,TC00042,False
TT00305,U00424,CR00023,2025-06-07,0.0,PayPal,TC00042,False
TT00306,U00424,CR00048,2025-05-16,0.0,Bank Transfer,TC00040,False
TT00307,U00424,CR00024,2025-03-18,117.68,Bank Transfer,TC00042,True
TT00308,U00427,CR00023,2025-06-12,0.0,Credit Card,TC00042,False
TT00309,U00427,CR00060,2025-10-03,0.0,PayPal,TC00042,False
TT00310,U00427,CR00048,2025-07-14,0.0,PayPal,TC00040,False
TT00311,U00427,CR00036,2025-07-29,0.0,Credit Card,TC00040,False
TT00312,U00427,CR00059,2025-03-06,0.0,Credit Card,TC00042,False
TT00313,U00438,CR00055,2025-07-16,57.32,PayPal,TC00040,True
TT00314,U00438,CR00032,2025-04-06,0.0,Credit Card,TC00040,False
TT00315,U00438,CR00006,2025-07-07,276.37,PayPal,TC00042,True
TT00316,U00438,CR00019,2025-02-23,0.0,Credit Card,TC00040,False
TT00317,U00438,CR00033,2025-09-06,0.0,Credit Card,TC00040,False
TT00318,U00444,CR00022,2025-09-19,0.0,Bank Transfer,TC00042,False
TT00319,U00444,CR00023,2025-04-27,0.0,Credit Card,TC00042,False
TT00320,U00444,CR00001,2025-07-28,472.28,PayPal,TC00040,True
TT00321,U00449,CR00020,2025-02-15,0.0,PayPal,TC00040,False
TT00322,U00449,CR00052,2025-11-05,0.0,Credit Card,TC00042,False
TT00323,U00449,CR00022,2025-07-26,0.0,PayPal,TC00040,False
TT00324,U00449,CR00049,2025-03-18,415.51,Bank Transfer,TC00040,True
TT00325,U00450,CR00051,2025-07-04,37.89,PayPal,TC00042,True
TT00326,U00450,CR00055,2025-11-07,57.32,Bank Transfer,TC00040,True
TT00327,U00450,CR00015,2025-12-25,285.05,PayPal,TC00040,True
TT00328,U00464,CR00021,2025-01-03,0.0,Credit Card,TC00042,False
TT00329,U00464,CR00008,2025-12-11,0.0,Bank Transfer,TC00040,False
TT00330,U00464,CR00041,2025-04-19,53.86,PayPal,TC00040,True
TT00331,U00494,CR00028,2025-08-01,0.78,PayPal,TC00042,True
TT00332,U00494,CR00058,2025-08-29,0.0,Credit Card,TC00040,False
TT00333,U00494,CR00053,2025-01-02,0.0,PayPal,TC00040,False
TT00334,U00494,CR00038,2025-07-19,342.61,PayPal,TC00042,True
TT00335,U00494,CR00014,2025-12-25,0.0,Bank Transfer,TC00040,False
TT00336,U00543,CR00034,2025-01-27,394.26,Bank Transfer,TC00040,True
TT00337,U00543,CR00053,2025-02-17,0.0,Bank Transfer,TC00042,False
TT00338,U00543,CR00050,2025-03-09,490.9,PayPal,TC00042,True
TT00339,U00548,CR00019,2025-04-27,0.0,PayPal,TC00042,False
TT00340,U00548,CR00032,2025-10-12,0.0,Credit Card,TC00040,False
TT00341,U00548,CR00046,2025-07-19,248.1,Credit Card,TC00042,True
TT00342,U00548,CR00012,2025-02-27,487.92,PayPal,TC00042,True
TT00343,U00556,CR00036,2025-08-10,0.0,PayPal,TC00040,False
TT00344,U00556,CR00003,2025-03-15,0.0,Bank Transfer,TC00040,False
TT00345,U00556,CR00046,2025-12-23,248.1,PayPal,TC00042,True
TT00346,U00556,CR00035,2025-07-02,0.0,Credit Card,TC00040,False
TT00347,U00559,CR00024,2025-08-27,117.68,Credit Card,TC00040,True
TT00348,U00559,CR00041,2025-05-22,53.86,Credit Card,TC00042,True
TT00349,U00562,CR00055,2025-09-15,57.32,Credit Card,TC00042,True
TT00350,U00562,CR00060,2025-06-25,0.0,PayPal,TC00040,False
TT00351,U00562,CR00038,2025-06-14,342.61,Credit Card,TC00042,True
TT00352,U00562,CR00039,2025-10-23,346.71,Credit Card,TC00040,True
TT00353,U00562,CR00041,2025-11-01,53.86,Bank Transfer,TC00042,True
TT00354,U00569,CR00053,2025-10-24,0.0,Credit Card,TC00040,False
